549,Winter,Sa,Jan,17,13,9,4.5
550,Summer,Tu  Th,Jul,28,19,4,12
551,Summer,W  Th  F,Jul,2,12,1,3
552,Fall,Sa,Sep,26,11,8,8
553,Summer,Th,Jul,2,11,9,9
554,Winter,F,Jan,9,10,9,5
555,Fall,M  Tu  W  Th  F,Nov,30,11,5,23
556,Spring,Su,Apr,5,15,11,12.25
557,Fall,F,Oct,16,12,9,4.5
558,Winter,Th,Jan,15,9,11,15
559,Winter,F,Mar,13,18,1,1
560,Spring,M,Mar,30,13,11,4.5
561,Summer,Sa,Jul,4,15,9,4.5
562,Winter,Su  M  Tu  W  Th  Sa,Jan,3,9,8,105.5
563,Winter,M,Jan,5,11,10,18
564,Summer,M  Tu  Th  F,Jun,29,12,8,12
565,Winter,Tu  Th,Jan,6,13,13,26
566,Spring,W,Apr,1,15,9,6.75
567,Spring,M  Tu  W  F,Mar,30,16,10,111
568,Summer,M  Tu  W  Th  F,Jun,25,13,9,64.5
569,Spring,Su,Jun,14,10,6,6
570,Fall,M,Sep,28,14,12,10
571,Spring,W,Apr,1,12,13,32.5
572,Winter,W,Jan,14,13,11,22
573,Fall,W,Sep,30,18,10,25
574,Summer,Tu  W  Th  F,Aug,4,12,1,5
575,Summer,Tu,Jul,7,11,9,9
576,Winter,Tu  Th,Jan,6,19,10,27.5
577,Winter,Tu  W  F  Sa,Jan,7,17,11,34.75
578,Winter,M  W  F,Jan,5,11,10,29
579,Winter,Sa,Jan,3,13,9,13.5
580,Summer,Th,Jul,9,17,8,6
581,Fall,Su  Tu  W  Sa,Nov,28,10,4,23.5
582,Spring,Su  F  Sa,Mar,27,18,14,87.75
583,Spring,W,Apr,1,16,12,12
584,Winter,Tu,Jan,20,13,6,15
585,Summer,M  Tu  W  Th  F,Jun,29,11,2,4
586,Spring,Tu,Mar,31,9,13,39
