Tecumseh Senior ES,M1G 1H7,38
Humberwood Community Centre,M9W 7A6,2
Regent Park South Community Centre,M5A 3H1,28
Alexmuir Junior Elementary School,M1V 1H6,41
Pleasant View JHS,M2J 3Y8,33
Topham Park,M4B 3J3,31
Halbert Park,M1M 3N1,36
St. Barnabas CSS,M1B 1H3,42
Leaside Memorial Gardens Arena,M4G 1X6,26
Bob Abate Community Recreation Centre,M6G 3H2,19
Centennial Recreation Centre - Etobicoke,M6M 1T9,12
Corvette  ES,M1K 3G2,35
Richmond Gardens Outdoor Pool,M9R 1A4,4
Calico PS,M3L 1V5,9
Ancaster Junior Elementary School,M3K 1S6,9
Ellesmere Statton JES,M1P 2W1,37
Randy Padmore Park,M5T 2M7,20
Goulding Park,M2M 1K8,23
Cedarbrook Community Centre,M1H 1C6,38
Ourland Park - Outdoor Pool,M8Z 4C9,6
George Webster Park,M9P 1E5,31
Gihon Spring Outdoor Pool,M9V 4X6,1
Pleasantview Community Centre,M2J 4S8,33
Withrow Park,M4K 3B9,30
St. Jean Brebeuf CSS,M1B 2X2,44
Warden Hilltop Community Centre,M1L 0G9,35
Ramsden Park,M4W 2K1,27
Parliament Square Park,M5H 2N2,28
New Toronto Seniors Centre,M8V 2Y4,6
Earl Beatty Community Centre,M4C 1V3,31
St. Barbara CSS,M1G 1Y2,38
White Haven ES,M1S 2Z1,42
Woburn Collegiate Institute,M1G 3M3,38
Vermont Square,M6G 2R9,20
Maryvale Park,M1R 5A9,37
St. Mark's United Church,M1G 3G9,43
Port Union Community Recreation Centre,M1C 3B2,44
Regent Park South,M5A 2B9,28
Highview Park,M1N 2H7,36
West Lodge Park,M6K 2W1,14
Humber River Valley,A1A 1A1,5
St. Joachim CS,M1L 1W3,35
Sherbourne Common,M5A 1B4,28
Albion Pool And Health Club,M9V 1B2,1
Woburn Avenue Playground,M5M 3J5,16
Parkway Forest Community Centre,M2J 0C2,33
Flemingdon Park,M3C 1E3,26
MacGregor Playground,M6H 3Y2,18
Memorial Pool And Health Club,M8X 1Z4,5
St. Gerald CS,M2J 3L9,33
Henry Hudson Senior Elementary School,M1G 3H4,43
Angela James Arena - Flemingdon,M3C 3E7,26
Riverdale Farm,M4X 1B8,28
Grandravine Park,M3J 1B1,9
C.R.Marchant MS,M9N 3A8,11
Maria A. Shchuka Library,M6E 2H4,15
Christie Pits Park,M6G 3K4,19
York Mills Arena,M2L 1B1,25
Wanless Park,M4N 1W5,25
L'Amoreaux Community Recreation Centre,M1V 5E9,39
Kingsview Village CS,M9R 3C8,2
Wells Hill Park,M5R 3E9,21
Stilecroft PS,M3J 1A7,9
St. Andrews JH,M2P 1X7,25
Brown Community Centre,M4V 2J1,22
Walter Perry,M1K 4M7,35
Sloane PS,M4A 2B1,34
Maryvale Park - Outdoor Pool,M1R 5A9,37
Prairie Drive Park,M1L 1L5,35
Maple Leaf Cottage,M1T 3L8,32
Lionel Conacher Park,M1P 4N7,22
Knob Hill JES,M1J 1M8,38
Military Trail JES,M1E 4P6,43
Stanley Park North - Toronto,M5V 1P1,19
Smythe Park,M6N 4K7,11
Albert Crosland Parkette,M6R 2C3,14
Lambton-Kingsway Outdoor Pool,M8X 1V3,5
Birchmount Community Centre,M1N 3J7,36
Armour Heights Community Centre,M5M 4M7,16
Summerlea Park,M9W 2N6,2
Ledbury Park,M5M 4J1,16
East York Memorial Arena,M4C 2W6,31
John Innes Community Recreation Centre,M5A 2R6,27
Buttonwood Park,M9A 4W1,4
Sir Alexander Mackenzie Sr ES,M1W 2Y2,41
Edenbridge Seniors Centre,M9A 3G9,4
Long Branch Arena,M8W 2Z5,6
Blessed Margarita CS,M3L 1Z5,9
Blessed Kateri Tekakwitha CSS,M2J 4C5,33
Trinity Bellwoods Park,M6J 1G3,19
Harrison Pool,M5T 1B1,20
Toronto Island Recreation,M5J 2H3,28
Elmbank Community Centre,M9V 4L9,1
Heather Heights Elementary School,M1G 3B5,43
Hillcrest Park,M6G 2B9,21
Wedgewood Park - Outdoor Pool,M9B 1V1,5
Cedarvale Park,M6C 3A4,21
Trace Manes Park Community Centre,M4G 1P2,26
O'Connor PS,M4A 1W5,34
Dovercourt Park,M6H 3G2,18
Stanley Park South - Toronto,M5V 1P1,19
James S. Bell CS,M8W 3E9,6
Hilltop Community School,M9P 1N8,4
North Kipling Community Centre,M9V 5C7,1
St. Boniface CSS,M1M 2J1,36
High Park,M8Z 3R3,13
Primrose Avenue Parkette,M6H 3V3,17
S.H. Armstrong Community Centre,M4L 2W6,32
Dufferin Grove Park,M6H 4J3,18
Toronto Pan Am Sports Centre,M1C 0C7,44
Lessard Park,M6S 1X6,13
Lambton - Kingsway Park AIR,M8X 1V3,5
Bloordale Community School,M9C 2H3,3
Shoreham Park,M3N 1T4,8
Beresford Park,M6S 3B5,13
Firgrove PS,M3N 1K8,7
Rennie Park,M6S 4Z9,13
Park Lawn Rink,M8Y 3K4,5
Eglinton Park,M1P 4N7,16
Albert Campbell Collegiate Institute,M1V 1S6,41
Earlscourt Park,M6H 3Z8,17
Chris Tonks Arena,M6N 2K6,12
Glen Park,M9B 4P7,3
Elizabeth Simcoe  JES,M1E 1A3,43
St. Ambrose CS,M8N 2N9,6
Willow Park ES,M1G 1P1,43
Bayview Arena,M2M 3R7,24
Glamorgan JES,M1P 4N4,40
Frankland Community Centre,M4K 3E1,30
St. Marcellus CSS,M9R 3H2,4
Winchester Park,M4X 1L9,28
Phin Avenue Parkette,M4J 3H4,30
John D. Parker Junior School,M9V 3Z5,1
Masaryk Park,M6K 2N6,14
Northview Heights SS,M2R 1N6,10
Bellmere Elementary School,M1H 2E6,41
Berner Trail Junior Elementary School,M1B 1B3,42
Ellesmere Community Centre,M1R 4B4,37
Prince of Wales Rink,M8V 2X5,6
McKee PS,M2N 6X6,23
Stan Wadlow Clubhouse,M4C 4K7,31
Pelham Avenue Playground,M6N 2W9,17
Douglas Snow Aquatic Centre,M2N 5V7,23
Wedgewood Park - Etobicoke,M2M 2H7,5
Oakridge Community Recreation Centre,M1L 4S9,35
Mount Dennis Community Hall,M6M 4M9,11
Centennial Arena (Etobicoke/York),M9C 5N3,3
Cedarbrae Collegiate Institute,M1H 2A2,38
Cummer Park,M2H 1J9,24
Broadlands Park,M3A 2L3,34
West Mall Rink - Outdoor Artificial Ice,M9C 1E4,3
Jonathan Ashbridge Park,M4L 2Y5,32
Masaryk- Cowan Community Centre,M6K 2N6,14
Alex Duff Memorial Pool,M6G 3K4,19
Loretto College - Wading Pool,M6H 2N1,17
Morse Street Playground,M4M 2P6,30
L'Amoreaux  CI,M1W 2K1,39
